,940,1050,1200,1300,1460,1550,1650,1720
dark,0.0094,0.0074,0.0081,0.0118,0.0116,0.0126,0.0199,0.0056
alu,0.4958,0.2594,0.4429,0.5235,0.532,0.4971,0.7047,0.1062
spectralon,0.3186,0.189,0.2992,0.3766,0.3987,0.3876,0.5899,0.0977
spectralon,0.3184,0.189,0.2992,0.3765,0.3987,0.3876,0.5898,0.0977
305,0.1923,0.1061,0.1409,0.1784,0.1653,0.1526,0.2,0.0316
305,0.1911,0.1062,0.1419,0.1791,0.1646,0.1537,0.201,0.0318
303,0.1892,0.1106,0.1485,0.1633,0.1513,0.1469,0.1905,0.0309
303,0.1721,0.1002,0.1353,0.1733,0.1615,0.1454,0.2022,0.0298
109,0.1447,0.0812,0.093,0.131,0.1067,0.1024,0.1257,0.0196
109,0.1459,0.0809,0.1091,0.1338,0.1129,0.1065,0.1306,0.0206
99,0.1462,0.0812,0.0803,0.1127,0.0873,0.0892,0.1286,0.0215
99,0.1435,0.0799,0.078,0.109,0.0805,0.0823,0.1197,0.0202
23,0.2195,0.1268,0.1604,0.2231,0.2041,0.2098,0.3057,0.0474
23,0.2191,0.1267,0.1533,0.2079,0.1858,0.1911,0.2781,0.0434
48,0.2366,0.1358,0.1631,0.2257,0.1867,0.1853,0.2727,0.0444
48,0.252,0.1362,0.1646,0.2212,0.1931,0.1969,0.2827,0.045
33,0.1866,0.0999,0.1179,0.163,0.1389,0.1237,0.1789,0.0291
33,0.1911,0.1038,0.1273,0.1568,0.1334,0.1331,0.1654,0.0272
30,0.1638,0.0898,0.111,0.1373,0.1172,0.109,0.1549,0.0261
30,0.1623,0.0882,0.1085,0.1344,0.1129,0.1007,0.1397,0.0238
10,0.2315,0.1298,0.1635,0.2119,0.1879,0.1846,0.2674,0.0432
10,0.235,0.1333,0.1669,0.216,0.189,0.1845,0.2655,0.0428
306,0.2662,0.146,0.2028,0.264,0.2538,0.2376,0.3163,0.0502
306,0.2545,0.1446,0.2019,0.2598,0.2484,0.2359,0.3176,0.0496
207,0.1241,0.0684,0.0751,0.0988,0.0765,0.0778,0.1177,0.0199
207,0.1143,0.0603,0.0638,0.0824,0.0812,0.0841,0.1213,0.0189
217,0.145,0.0884,0.1141,0.143,0.1042,0.1267,0.2032,0.0295
217,0.111,0.0621,0.0715,0.0871,0.0779,0.0696,0.1061,0.0184
203,0.088,0.0467,0.0552,0.0806,0.061,0.0584,0.0868,0.0164
203,0.0907,0.0518,0.0598,0.0693,0.0534,0.0583,0.0953,0.0162
206,0.265,0.1543,0.2048,0.2656,0.2489,0.251,0.3873,0.063
206,0.2739,0.1593,0.2101,0.2749,0.2508,0.246,0.372,0.0598
230,0.1668,0.0982,0.1293,0.154,0.1307,0.1358,0.1903,0.0311
230,0.169,0.0949,0.1167,0.1464,0.129,0.1272,0.1923,0.0339
119,0.2333,0.1276,0.1626,0.2204,0.1706,0.1662,0.2055,0.0301
119,0.2076,0.1137,0.1522,0.1982,0.1577,0.1563,0.1944,0.0293
302,0.1366,0.0759,0.1055,0.1364,0.1242,0.1165,0.1594,0.0256
302,0.1479,0.0818,0.1128,0.1777,0.1325,0.1216,0.1605,0.0258
202,0.2515,0.1441,0.1824,0.2413,0.2137,0.2114,0.3259,0.0533
202,0.2592,0.1508,0.1865,0.2473,0.2211,0.2285,0.3389,0.0542
42,0.2648,0.1507,0.1896,0.2506,0.2231,0.2227,0.3217,0.0514
42,0.2562,0.141,0.1782,0.2369,0.1991,0.1986,0.28,0.0454
209,0.0919,0.0529,0.0617,0.0857,0.0725,0.0691,0.0973,0.0168
209,0.0863,0.0531,0.0616,0.0772,0.0679,0.0717,0.1048,0.0176
223,0.2519,0.1407,0.168,0.2167,0.2003,0.1948,0.2871,0.0453
223,0.259,0.1453,0.1773,0.2346,0.2071,0.2109,0.3088,0.0464
042?,0.0751,0.0459,0.052,0.0641,0.061,0.0618,0.0953,0.0168
042?,0.0751,0.0459,0.052,0.0642,0.061,0.0618,0.0953,0.0169
227,0.2255,0.1341,0.171,0.2046,0.1752,0.1843,0.2631,0.043
227,0.2312,0.1276,0.1633,0.222,0.1795,0.1685,0.2658,0.0453
301,0.0633,0.0453,0.0634,0.0783,0.0774,0.072,0.1116,0.0198
301,0.0724,0.0419,0.0613,0.078,0.0765,0.0762,0.107,0.0199
39,0.3042,0.184,0.2702,0.3598,0.3623,0.3464,0.533,0.0853
39,0.3077,0.1788,0.2652,0.3451,0.3568,0.3503,0.5097,0.0815
135,0.1701,0.0991,0.1539,0.1914,0.1901,0.1883,0.2613,0.0421
135,0.1734,0.1036,0.1646,0.2006,0.1997,0.1903,0.2607,0.0414
106,0.1445,0.0704,0.1171,0.207,0.1934,0.203,0.2296,0.0329
106,0.1394,0.0864,0.156,0.2094,0.2111,0.2222,0.2559,0.0353
107,0.2395,0.1436,0.2211,0.2823,0.2978,0.267,0.4282,0.0588
107,0.2411,0.1348,0.2152,0.2551,0.2496,0.2333,0.3298,0.0549
105,0.2412,0.1354,0.1892,0.251,0.2242,0.2542,0.3141,0.0416
105,0.2053,0.1174,0.1633,0.2135,0.1956,0.2069,0.2509,0.0354
135,0.1602,0.0944,0.1401,0.1845,0.183,0.1773,0.2427,0.0394
135,0.2662,0.1478,0.2122,0.2767,0.2741,0.3487,0.3325,0.0542
129,0.1525,0.0961,0.1487,0.1966,0.2258,0.181,0.2513,0.0383
129,0.1546,0.0716,0.1048,0.1473,0.1332,0.1362,0.1549,0.0247
137,0.3234,0.1918,0.2987,0.3736,0.3972,0.3737,0.5565,0.088
137,0.3084,0.1962,0.2863,0.3622,0.3745,0.3917,0.5532,0.0871