Reading,PlasticType,ID,Color,white,nm850,nm940,nm1200,nm1300,nm1450,nm1550,nm1650
1,other,spectralon,White,25509,481541,822082,498983,615226,512579,611165,296654
2,other,spectralon,White,25648,478544,813480,491905,614480,520605,618833,296396
3,other,spectralon,White,26373,495722,849668,514643,639241,528577,625177,303592
4,other,spectralon,White,26361,488819,828400,498429,616986,517889,619189,299920
5,other,thorlabs,White,24679,454521,775560,465511,581286,481645,570234,277974
6,other,thorlabs,White,24358,449182,764935,459589,574752,479762,565839,273654
7,other,thorlabs,White,24649,453911,774580,466505,583486,482709,568651,277259
8,other,thorlabs,White,24167,447860,763376,460969,575573,474757,561537,273514
9,other,polished alu,metal,12111,382476,641536,671157,590289,467212,770701,197814
10,other,polished alu,metal,12757,388960,655136,683430,600863,473403,781061,201011
11,other,polished alu,metal,12499,383878,652109,688037,604370,467671,770777,198541
12,other,polished alu,metal,12597,389004,656751,676897,605035,482097,790791,201106
13,PET,A01C,White,22173,447734,750454,429269,532568,375615,468327,190642
14,PET,A01C,White,21777,454936,769280,442277,557136,396031,495418,199244
15,PET,A01C,White,24011,487960,821490,475693,596478,435539,543382,216509
16,PET,A01C,White,21471,453845,758796,442805,548460,398497,503441,196872
17,PET,A02C,White,23361,442250,676442,358446,421008,399860,523131,211781
18,PET,A02C,White,24287,458463,731457,410257,471499,415445,539629,217800
19,PET,A02C,White,25725,481672,783964,446581,511306,418345,544847,225054
20,PET,A02C,White,24687,461406,742520,415303,503528,420743,542115,219464
21,PET,A03C,Transparent,18218,420126,712824,461881,554514,438788,536943,231914
22,PET,A03C,Transparent,20345,455358,771076,489825,586302,481561,589927,253220
23,PET,A03C,Transparent,20907,461297,782662,496925,608885,495397,605864,259378
24,PET,A03C,Transparent,21957,476400,807161,511713,624994,505915,622957,270782
25,PET,A04C,Transparent,17945,369656,615134,328493,448606,305943,413697,144331
26,PET,A04C,Transparent,18563,377576,626584,333365,453426,309235,419753,147123
27,PET,A04C,Transparent,18459,373708,618086,326469,448116,306713,417459,145768
28,PET,A04C,Transparent,18238,375908,624963,332235,453122,308650,418645,146448
29,HDPE,B01C,White,23019,434124,706574,353767,481564,344373,446339,217376
30,HDPE,B01C,White,23937,446062,727328,362127,489780,349269,454834,223900
31,HDPE,B01C,White,22448,426012,693317,350369,473221,335279,435055,211610
32,HDPE,B01C,White,23679,443748,720870,361788,486596,349231,454788,221573
33,HDPE,B02C,Transparent,21037,355222,565404,298683,417898,323487,435149,206978
34,HDPE,B02C,Transparent,20387,341768,538974,281752,396632,305997,415969,197344
35,HDPE,B02C,Transparent,19783,332865,523910,270928,379310,289607,397755,189662
36,HDPE,B02C,Transparent,20263,350308,557314,294982,411300,318165,427375,201492
37,HDPE,B03C,Green,6367,260256,593425,264891,377018,261389,352935,173008
38,HDPE,B03C,Green,6499,265435,615876,277515,395896,272221,367608,180744
39,HDPE,B03C,Green,5491,243794,565404,260739,376522,257075,351369,172864
40,HDPE,B03C,Green,5505,246566,571362,266638,376180,262962,360473,175534
41,HDPE,B04C,Yellow,22303,449418,683664,281455,394644,261035,362602,184226
42,HDPE,B04C,Yellow,23481,450828,696876,298141,425110,283052,373615,190732
43,HDPE,B04C,Yellow,18267,376594,591222,262015,370744,252163,343749,163626
44,HDPE,B04C,Yellow,17317,367122,537564,226991,324202,222417,308755,160122
45,HDPE,B05C,Gray,6553,106040,167452,98678,122739,88055,110559,49767
46,HDPE,B05C,Gray,6606,107061,169164,100062,124172,89173,111741,50270
47,HDPE,B05C,Gray,6749,108714,171477,103679,127814,90997,113958,50856
48,HDPE,B05C,Gray,6448,106784,170179,103669,125672,88551,113686,50164
49,PVC,C01C,Transparent,13652,361530,594317,370721,476050,374726,470423,196978
50,PVC,C01C,Transparent,14239,377025,623741,382341,487778,387209,493508,206030
51,PVC,C01C,Transparent,14633,384102,633068,390886,500662,393550,505643,212386
52,PVC,C01C,Transparent,13969,372226,611292,379579,490486,387418,493743,206633
53,PVC,C02C,White,25002,452358,755392,372477,518604,361385,469764,216540
54,PVC,C02C,White,24079,445398,730374,368907,523330,355091,448310,211446
55,PVC,C02C,White,25143,451448,742356,376129,533396,362075,457381,215720
56,PVC,C02C,White,25637,468270,764072,387921,543402,378526,482855,221254
57,PVC,C03C,White,23293,470978,774200,451973,591764,465373,560728,255774
58,PVC,C03C,White,24200,470089,765386,437180,573768,467537,544805,252358
59,PVC,C03C,White,20283,429476,709732,420545,550493,419916,496594,229120
60,PVC,C03C,White,23351,470240,776604,455265,594012,461091,558352,255907
61,PVC,C04C,Transparent,17121,377302,625368,396167,512692,399403,496121,214770
62,PVC,C04C,Transparent,9981,271658,465421,305736,411464,316369,366344,160963
63,PVC,C04C,Transparent,15701,353880,582715,370275,478376,349454,432108,200280
64,PVC,C04C,Transparent,14125,332089,564956,352227,455607,370475,460571,205936
65,PVC,C04C,Transparent,16045,360228,564032,351617,470590,378913,485633,207886
66,PVC,C05C,Blue,9815,343550,593172,321555,375771,275557,306688,136916
67,PVC,C05C,Blue,9549,340177,586245,318519,372166,270402,300793,134627
68,PVC,C05C,Blue,9677,343532,588590,323804,380146,273197,299570,136058
69,PVC,C05C,Blue,9960,343747,594134,322560,379566,280889,312463,138342
70,PVC,C06C,Gray,2683,53232,74547,66316,78625,57357,74050,30185
71,PVC,C06C,Gray,2868,53808,71133,66205,80541,57568,76039,29763
72,PVC,C06C,Gray,3097,55889,80880,66501,81868,58165,74963,31326
73,PVC,C06C,Gray,2851,54217,78397,65945,81946,58931,75686,30260
74,LDPE,D01D,White,27717,494035,816144,491883,607840,492139,596055,269226
75,LDPE,D01D,White,26208,470617,778590,468897,574894,459703,563513,261412
76,LDPE,D01D,White,26079,468523,769226,466054,564044,455845,574487,261452
77,LDPE,D01D,White,23951,435048,715897,437933,525404,413335,522255,238426
78,LDPE,D02C,Transparent,21066,438457,729090,446663,576590,416675,594797,261060
79,LDPE,D02C,Transparent,20710,420148,705308,465695,574898,471452,581897,253122
80,LDPE,D02C,Transparent,21054,425608,700710,474047,569332,489619,601367,246591
81,LDPE,D02C,Transparent,22129,424498,743017,517853,595780,447072,628641,257970
82,LDPE,D03C,Red,10113,348425,542006,284538,404657,307121,410902,194756
83,LDPE,D03C,Red,10200,358074,554734,290943,412574,316289,424475,199238
84,LDPE,D03C,Red,9585,347696,546266,289144,401611,303231,410653,193277
85,LDPE,D03C,Red,9354,345606,544211,294719,409670,311747,406811,194069
86,LDPE,D04C,Yellow,15703,341950,510794,217115,319276,225909,314686,149995
87,LDPE,D04C,Yellow,18761,384228,570137,236995,346483,238829,331246,159318
88,LDPE,D04C,Yellow,18925,392134,590940,248415,363680,255271,343789,167689
89,LDPE,D04C,Yellow,16721,372914,554922,249753,354292,237943,335201,160324
90,PP,E01C,White (shiny),22253,403324,635662,321429,425327,309278,411035,186062
91,PP,E01C,White (shiny),23141,428879,674160,332649,454440,349108,467853,211870
92,PP,E01C,White (shiny),22913,403217,658868,340829,474504,331429,393713,178763
93,PP,E01C,White (shiny),22441,398899,632710,319531,439103,329563,436535,194092
94,PP,E02C,White,20015,376272,603268,323853,413103,302997,373846,168978
95,PP,E02C,White,20829,389906,625643,333857,429206,313202,381837,173933
96,PP,E02C,White,21463,395728,634487,336126,432432,315149,386629,175469
97,PP,E02C,Light Blue,22205,405025,654554,343295,442335,319373,393533,180211
98,PP,E03C,Light Blue,11908,307370,481556,213831,286666,185365,229381,103687
99,PP,E03C,Light Blue,11594,304915,480685,211733,282041,182259,225889,102908
100,PP,E03C,Light Blue,11231,302056,476676,210603,280686,181937,225449,103185
101,PP,E03C,Purple,11807,307422,481798,212265,284652,186151,231823,104246
102,PP,E04C,Purple,9434,372232,609006,276037,395133,269199,362757,163789
103,PP,E04C,Purple,9287,378168,626133,282207,400790,269395,363827,165083
104,PP,E04C,Purple,9569,379104,613310,275674,395273,272675,366073,162729
105,PP,E04C,White,9421,386229,622060,279080,400242,275882,368653,164829
106,PP,E05C,White,23275,472980,749448,331207,480448,308938,421119,193636
107,PP,E05C,White,22823,462385,731939,325253,472594,304602,413745,188982
108,PP,E05C,White,22657,461968,728236,319273,465315,301276,410687,189228
109,PP,E05C,White,22974,467936,739718,324437,474630,306613,416769,192018
110,PS,F01C,White,25322,476068,791238,440814,579426,444879,540787,217773
111,PS,F01C,White,27117,496276,822700,445779,592630,458905,560411,224716
112,PS,F01C,White,27739,511816,847816,462728,611067,472925,578106,235537
113,PS,F01C,White,27573,510106,845942,458446,609953,469896,572841,229663
114,PS,F02C,Blue,7651,403420,709910,443973,578846,467886,519239,240570
115,PS,F02C,Blue,7955,423154,760906,441789,563048,454457,577278,243664
116,PS,F02C,Blue,8449,426436,763046,484277,600398,482897,568631,250572
117,PS,F02C,Blue,9013,423888,797099,452033,571835,463173,584587,241466
118,PS,F03C,White,22261,464270,756659,348755,499660,345201,429497,161619
119,PS,F03C,White,22989,461262,749739,346547,491716,337101,422768,160120
120,PS,F03C,White,22374,451293,727890,332278,480576,338235,423692,158596
121,PS,F03C,White,22965,465240,756352,347611,499733,341879,424402,161297
122,PS,F04C,Transparent,20777,419660,696072,420152,533258,417357,515499,196108
123,PS,F04C,Transparent,20775,417376,698177,421809,533336,417677,516808,196600
124,PS,F04C,Transparent,21460,427708,703476,424147,539300,424773,527013,200074
125,PS,F04C,Transparent,20265,397970,650776,386123,495776,407415,508875,188860
126,other,thorlabs,White,24906,461606,769532,472379,588216,489663,577683,276164
127,other,spectralon,White,26903,502014,838862,516965,637330,531511,631641,301208
128,other,spectralon,White,27170,508631,851832,525932,647667,539113,638291,305566
129,other,polished alu,metal,13052,395444,658510,696887,606914,486818,798801,202220
130,other,polished alu,metal,13093,396668,662690,708900,613208,480217,794141,204398
131,other,ref paper,White,23541,486286,808584,492517,602117,427935,471615,233198
132,other,ref paper,White,23783,489675,812609,493409,604028,431061,475583,235664
